cycle_id,size,label,a,b,c,d,N,n,K,coverage,jaccard,overlap,odds_ratio,risk_ratio,phi,exp,var,z,fisher_p,hypergeom_p,chi2,chi2_p,cov_ci_low,cov_ci_high,qval,reject_0.05
246,46,NPR10,26,10,20,123,179,36,46,0.7222222222222222,0.4642857142857143,0.7222222222222222,15.204413472706156,5.030982201713909,0.5342045996182294,9.251396648044693,5.522324802245999,7.127178309617528,2.5836857811690114e-11,2.5836857811690114e-11,48.07764168040198,4.096713751388299e-12,0.5600751000260289,0.841516620598654,1.0799806565286468e-08,True
67,74,NPR10,30,6,44,99,179,36,74,0.8333333333333334,0.375,0.8333333333333334,10.491789109766637,2.667476465229274,0.42785638134902587,14.88268156424581,7.0134788678410285,5.708316107651431,1.0582832134446533e-08,1.0582832134446533e-08,30.636203954953952,3.1123173004980546e-08,0.6810920568872054,0.9212955240498188,2.2118119160993254e-06,True
281,114,NPR10,35,1,79,64,179,36,114,0.9722222222222222,0.30434782608695654,0.9722222222222222,19.20125786163522,1.7378888322284547,0.3498858617406928,22.92737430167598,6.6885300399873895,4.668059628131675,2.3751696626733345e-07,2.3751696626733345e-07,20.135673478006474,7.21385546468299e-06,0.8583028134672614,0.9950795928601897,3.000486648833471e-05,True
299,72,NPR10,28,8,44,99,179,36,72,0.7777777777777778,0.35,0.7777777777777778,7.497025776602776,2.492559975706043,0.38427130902748585,14.480446927374302,6.953904916067861,5.1268187145267925,3.589098862240994e-07,3.589098862240994e-07,24.512998190982028,7.381022333814403e-07,0.6191529705388181,0.8828366802420353,3.000486648833471e-05,True
361,72,NPR10,28,8,44,99,179,36,72,0.7777777777777778,0.35,0.7777777777777778,7.497025776602776,2.492559975706043,0.38427130902748585,14.480446927374302,6.953904916067861,5.1268187145267925,3.589098862240994e-07,3.589098862240994e-07,24.512998190982028,7.381022333814403e-07,0.6191529705388181,0.8828366802420353,3.000486648833471e-05,True
410,102,NPR10,33,3,69,74,179,36,102,0.9166666666666666,0.3142857142857143,0.9166666666666666,10.260020554984584,1.8759478903363795,0.351489867403561,20.51396648044693,7.089300261006877,4.689459732842619,6.599898340914878e-07,6.599898340914878e-07,20.378895088621025,6.352655145972133e-06,0.7817330875072737,0.9712513886640066,4.597929177504032e-05,True
393,92,NPR10,31,5,61,82,179,36,92,0.8611111111111112,0.31958762886597936,0.8611111111111112,7.682926829268292,1.99340804218853,0.34849229058983466,18.502793296089386,7.224695605945893,4.649467069987469,1.5920313579982701e-06,1.5920313579982701e-06,20.034280857580146,7.606622335695643e-06,0.713404696106438,0.9391818499086717,9.506701537761099e-05,True
110,87,NPR10,30,6,57,86,179,36,87,0.8333333333333334,0.3225806451612903,0.8333333333333334,7.058862876254181,2.0643948296122208,0.3486480761466473,17.497206703910614,7.224695605945893,4.651545508552506,2.048329189187955e-06,2.048329189187955e-06,20.052943437711985,7.532750239257429e-06,0.6810920568872054,0.9212955240498188,0.00010702520013507065,True
175,54,NPR10,23,13,31,112,179,36,54,0.6388888888888888,0.34328358208955223,0.6388888888888888,6.216931216931217,2.9034749034749034,0.36862821288013725,10.860335195530727,6.0927905222557195,4.918113780806039,2.498347104691787e-06,2.498347104691787e-06,22.36133508158508,2.258759330716374e-06,0.4757507548555804,0.7752440705348462,0.00011603434330679634,True
390,100,NPR10,32,4,68,75,179,36,100,0.8888888888888888,0.3076923076923077,0.8888888888888888,7.960259529602595,1.8465180508976131,0.33368663227938644,20.11173184357542,7.130821500121509,4.451934950561228,3.0839409437826832e-06,3.0839409437826832e-06,18.28979480171727,1.897208013352963e-05,0.7468519140963513,0.9559335969968435,0.00011718975586374196,True
