neuron,mse_model,mse_identity,delta_identity_minus_model
ADAL,1.000683595444951,2.1898419411430057,1.1891583456980548
ADAR,0.9996310586951567,2.189841941143006,1.1902108824478494
ADEL,1.010456541049692,2.189841941143005,1.1793854000933128
ADER,1.0070313105142785,2.1898419411430057,1.1828106306287272
ADFL,1.0039198326173568,2.189841941143005,1.185922108525648
ADFR,1.007512347023396,2.1898419411430057,1.1823295941196097
ADLL,1.0035520939780436,2.1898419411430052,1.1862898471649617
ADLR,1.0102889811849756,2.189841941143005,1.1795529599580292
AFDL,1.0011341445746416,2.1898419411430052,1.1887077965683637
AFDR,0.9995855991987174,2.189841941143006,1.1902563419442886
AIAL,1.0026629584130498,2.1898419411430052,1.1871789827299555
AIAR,1.0046918812271315,2.1898419411430057,1.1851500599158742
AIBL,1.0035679931589758,2.1898419411430052,1.1862739479840294
AIBR,1.0051221976637617,2.189841941143005,1.1847197434792431
AIML,1.000499886374391,2.189841941143005,1.1893420547686138
AIMR,1.0080878960171575,2.189841941143004,1.1817540451258464
AINL,1.0055052965972273,2.189841941143005,1.1843366445457775
AINR,1.000461187866406,2.189841941143006,1.1893807532766
AIYL,1.000479795914434,2.1898419411430057,1.1893621452285716
AIYR,1.013682729873157,2.189841941143004,1.176159211269847
AIZL,1.00262200397066,2.1898419411430043,1.1872199371723444
AIZR,1.0061467812408422,2.1898419411430052,1.183695159902163
ALA,1.009018283056597,2.189841941143005,1.1808236580864078
ALML,0.9995134261869068,2.189841941143005,1.190328514956098
ALMR,1.001447900834646,2.189841941143006,1.1883940403083602
ALNL,1.0054513391520394,2.1898419411430057,1.1843906019909662
ALNR,1.012593846707726,2.1898419411430057,1.1772480944352797
AQR,1.0055435573155411,2.189841941143005,1.1842983838274637
ASEL,1.008399508553951,2.189841941143006,1.1814424325890551
ASER,1.0092269557365596,2.189841941143005,1.1806149854064452
ASGL,1.00420579192516,2.189841941143005,1.1856361492178449
ASGR,1.0028467935265704,2.189841941143005,1.1869951476164344
ASHL,1.00762254593202,2.1898419411430057,1.1822193952109856
ASHR,1.0044881049252259,2.189841941143005,1.185353836217779
ASIL,1.0051386628414558,2.1898419411430052,1.1847032783015494
ASIR,1.0087242444999156,2.189841941143005,1.1811176966430892
ASJL,1.010965673543201,2.1898419411430043,1.1788762675998032
ASJR,1.00018839630986,2.189841941143005,1.189653544833145
ASKL,1.0033085436143032,2.189841941143006,1.186533397528703
ASKR,1.001062622950419,2.1898419411430052,1.1887793181925863
AUAL,1.0018774473965861,2.1898419411430052,1.187964493746419
AUAR,1.0051868588805837,2.1898419411430052,1.1846550822624216
AVAL,1.0082703651817113,2.1898419411430057,1.1815715759612944
AVAR,1.004307010178211,2.1898419411430052,1.1855349309647942
AVBL,1.0045746038201089,2.1898419411430052,1.1852673373228964
AVBR,1.001701211677899,2.1898419411430057,1.1881407294651067
AVDL,1.0012137977014492,2.1898419411430052,1.188628143441556
AVDR,1.0024648290798692,2.189841941143005,1.1873771120631356
AVEL,1.0021730922902092,2.189841941143004,1.1876688488527947
AVER,1.009946759017816,2.1898419411430066,1.1798951821251906
AVFL,1.004140863652315,2.1898419411430052,1.1857010774906902
AVFR,1.0028946026130368,2.189841941143006,1.1869473385299694
AVHL,1.0008169683149577,2.1898419411430052,1.1890249728280475
AVHR,1.0051545504102557,2.1898419411430066,1.1846873907327509
AVJL,1.0098950730633929,2.1898419411430052,1.1799468680796124
AVJR,1.0034032987923667,2.1898419411430057,1.186438642350639
AVKL,1.0035921208816891,2.189841941143005,1.1862498202613156
AVKR,1.003487597289161,2.1898419411430057,1.1863543438538446
AVL,1.0030320993256,2.1898419411430057,1.1868098418174058
AVM,1.00181137059414,2.189841941143005,1.1880305705488647
AWAL,1.000700141670879,2.1898419411430052,1.1891417994721263
AWAR,1.0051109129488374,2.1898419411430057,1.1847310281941683
AWBL,1.0054476169162827,2.1898419411430052,1.1843943242267225
AWBR,0.9996493750246118,2.189841941143006,1.1901925661183943
AWCL,1.0008260650074794,2.189841941143006,1.1890158761355267
AWCR,1.0045116991192857,2.189841941143006,1.1853302420237204
BAGL,1.0055511462339852,2.1898419411430043,1.1842907949090191
BAGR,1.0031333133405997,2.189841941143005,1.186708627802405
BDUL,1.0001856247892325,2.189841941143005,1.1896563163537723
BDUR,1.002807097746531,2.1898419411430057,1.1870348433964746
CANR,1.0065694764046718,2.1898419411430057,1.183272464738334
CEPDL,1.004814450794657,2.189841941143006,1.185027490348349
CEPDR,1.0039054388400754,2.1898419411430052,1.1859365023029298
CEPVL,1.0024660604786937,2.1898419411430052,1.1873758806643115
CEPVR,1.0020340108941128,2.1898419411430052,1.1878079302488924
DVA,1.0059144629473482,2.1898419411430043,1.1839274781956561
DVC,1.0011314537901108,2.1898419411430043,1.1887104873528935
FLPL,1.0078879091498443,2.1898419411430052,1.181954031993161
FLPR,1.0013492379107918,2.1898419411430057,1.188492703232214
HSNL,1.0034414143439596,2.1898419411430066,1.186400526799047
HSNR,1.0025082135327177,2.1898419411430057,1.187333727610288
IL1DL,1.0132695596107313,2.1898419411430052,1.176572381532274
IL1DR,1.0092538769717645,2.189841941143004,1.1805880641712394
IL1L,1.0009354851265844,2.189841941143004,1.1889064560164195
IL1R,1.0076651509451238,2.189841941143005,1.182176790197881
