,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
ADAL,0.12672876330451577,6.454101414829375,12.01829954250547,16.148198733316605,18.34567219403034,18.34567219403034,16.148198733316605,12.01829954250547,6.454101414829375,0.12672876330451577,-6.200643888220338,-11.764842015896429,-15.894741206707533,-18.09221466742131,-18.09221466742131,-15.894741206707575,-11.764842015896443,-6.200643888220338,0.12672876330451063,6.454101414829366,12.018299542505456,16.148198733316605,18.34567219403034,18.34567219403034,16.148198733316605,12.018299542505456,6.454101414829375,0.1267287633045209,-6.200643888220335,-11.764842015896443,-15.894741206707533,-18.09221466742131,-18.09221466742131,-15.894741206707533,-11.764842015896429,-6.200643888220345,0.1267287633045055,6.454101414829366,12.018299542505456,16.148198733316566,18.34567219403034,18.34567219403034,16.148198733316566,12.018299542505476,6.454101414829406,0.12672876330452604,-6.200643888220335,-11.764842015896448,-15.894741206707533,-18.09221466742131,-18.09221466742131,-15.894741206707533,-11.764842015896441,-6.200643888220346,0.12672876330450036,6.454101414829366,12.018299542505453,16.148198733316566,18.34567219403034,18.34567219403034,16.148198733316608,12.01829954250547,6.454101414829376,0.12672876330453117,-6.200643888220334,-11.764842015896424,-15.894741206707575,-18.09221466742131,-18.09221466742131,-15.894741206707574,-11.764842015896441,-6.2006438882203465,0.12672876330449523,6.454101414829365,12.018299542505453,16.148198733316562,18.345672194030335,18.34567219403034,16.148198733316608,12.01829954250547,6.454101414829378,0.1267287633045363,-6.2006438882202835,-11.764842015896447,-15.894741206707575,-18.09221466742131,-18.092214667421313,-15.894741206707579,-11.764842015896555,-6.200643888220347,0.12672876330449523,6.454101414829364,12.018299542505453,16.148198733316562,18.34567219403034,18.34567219403034,16.14819873331662,12.01829954250559,6.454101414829482,0.1267287633044747
ADAR,0.11043179059865565,5.240733940483678,9.752245935896747,13.100812847365226,14.882548085781789,14.882548085781789,13.100812847365226,9.752245935896747,5.240733940483679,0.11043179059865774,-5.019870359286362,-9.531382354699424,-12.879949266167875,-14.661684504584478,-14.661684504584478,-12.879949266167916,-9.531382354699439,-5.019870359286362,0.11043179059865149,5.24073394048367,9.752245935896733,13.100812847365226,14.882548085781789,14.882548085781789,13.100812847365228,9.752245935896733,5.240733940483678,0.1104317905986619,-5.019870359286359,-9.531382354699439,-12.879949266167875,-14.661684504584478,-14.661684504584478,-12.879949266167875,-9.531382354699424,-5.019870359286368,0.11043179059864733,5.24073394048367,9.752245935896731,13.100812847365184,14.882548085781789,14.88254808578179,13.100812847365185,9.752245935896752,5.24073394048371,0.11043179059866398,-5.019870359286358,-9.531382354699444,-12.879949266167875,-14.661684504584475,-14.661684504584478,-12.879949266167875,-9.531382354699439,-5.019870359286369,0.11043179059864525,5.240733940483669,9.752245935896728,13.100812847365184,14.882548085781789,14.88254808578179,13.100812847365232,9.752245935896747,5.240733940483679,0.11043179059866814,-5.019870359286357,-9.531382354699419,-12.879949266167916,-14.661684504584475,-14.661684504584478,-12.879949266167916,-9.531382354699439,-5.0198703592863705,0.11043179059864108,5.240733940483668,9.752245935896728,13.100812847365184,14.882548085781787,14.882548085781789,13.100812847365232,9.752245935896747,5.240733940483681,0.11043179059867231,-5.019870359286307,-9.531382354699444,-12.879949266167916,-14.661684504584478,-14.661684504584478,-12.879949266167921,-9.53138235469949,-5.019870359286371,0.11043179059863692,5.240733940483668,9.752245935896728,13.100812847365184,14.88254808578179,14.88254808578179,13.10081284736524,9.752245935896804,5.2407339404837545,0.11043179059862235
ADEL,0.12764304970046136,7.002247930546389,13.047674004399868,17.534753665767646,19.92227888524579,19.92227888524579,17.534753665767646,13.047674004399868,7.002247930546389,0.12764304970046136,-6.746961831145461,-12.792387904998934,-17.279467566366684,-19.666992785844872,-19.666992785844872,-17.279467566366726,-12.792387904998948,-6.74696183114546,0.12764304970045579,7.00224793054638,13.047674004399855,17.534753665767646,19.92227888524579,19.92227888524579,17.534753665767646,13.047674004399855,7.002247930546389,0.12764304970046694,-6.746961831145458,-12.792387904998948,-17.279467566366684,-19.666992785844872,-19.666992785844872,-17.279467566366684,-12.792387904998934,-6.746961831145467,0.1276430497004502,7.00224793054638,13.047674004399854,17.534753665767603,19.92227888524579,19.92227888524579,17.534753665767603,13.047674004399873,7.00224793054642,0.12764304970047252,-6.746961831145457,-12.792387904998956,-17.279467566366684,-19.66699278584487,-19.666992785844872,-17.279467566366684,-12.792387904998948,-6.746961831145468,0.12764304970044463,7.002247930546379,13.04767400439985,17.534753665767603,19.92227888524579,19.92227888524579,17.53475366576765,13.047674004399868,7.002247930546389,0.1276430497004781,-6.746961831145456,-12.792387904998929,-17.279467566366726,-19.66699278584487,-19.666992785844872,-17.279467566366723,-12.792387904998948,-6.7469618311454695,0.12764304970043905,7.002247930546378,13.04767400439985,17.534753665767603,19.922278885245788,19.92227888524579,17.53475366576765,13.04767400439987,7.002247930546391,0.12764304970048368,-6.7469618311454065,-12.792387904998954,-17.279467566366726,-19.666992785844872,-19.666992785844872,-17.27946756636673,-12.79238790499909,-6.74696183114547,0.12764304970043905,7.002247930546378,13.04767400439985,17.534753665767603,19.92227888524579,19.92227888524579,17.53475366576766,13.047674004400017,7.00224793054651,0.12764304970041673
ADER,0.14656938199630432,5.447881603544161,10.109777332137662,13.56996314065509,15.411089553685542,15.411089553685542,13.56996314065509,10.109777332137662,5.447881603544161,0.14656938199630432,-5.154742839551547,-9.816638568145041,-13.276824376662443,-15.117950789692934,-15.117950789692934,-13.276824376662486,-9.816638568145056,-5.154742839551546,0.1465693819963,5.447881603544152,10.109777332137648,13.56996314065509,15.411089553685542,15.411089553685542,13.569963140655092,10.109777332137648,5.447881603544161,0.14656938199630862,-5.154742839551544,-9.816638568145056,-13.276824376662443,-15.117950789692934,-15.117950789692934,-13.276824376662443,-9.816638568145041,-5.154742839551553,0.1465693819962957,5.447881603544152,10.109777332137647,13.56996314065505,15.411089553685542,15.411089553685542,13.56996314065505,10.109777332137666,5.447881603544192,0.14656938199631292,-5.1547428395515436,-9.816638568145063,-13.276824376662443,-15.117950789692932,-15.117950789692934,-13.276824376662443,-9.816638568145056,-5.154742839551554,0.1465693819962914,5.447881603544151,10.109777332137643,13.56996314065505,15.411089553685542,15.411089553685542,13.569963140655096,10.109777332137662,5.447881603544161,0.14656938199631722,-5.154742839551543,-9.816638568145036,-13.276824376662486,-15.117950789692932,-15.117950789692934,-13.276824376662486,-9.816638568145056,-5.154742839551556,0.1465693819962871,5.447881603544151,10.109777332137643,13.56996314065505,15.41108955368554,15.411089553685542,13.569963140655096,10.109777332137662,5.447881603544163,0.14656938199632152,-5.154742839551492,-9.816638568145061,-13.276824376662486,-15.117950789692934,-15.117950789692934,-13.27682437666249,-9.816638568145116,-5.154742839551556,0.1465693819962871,5.44788160354415,10.109777332137643,13.56996314065505,15.411089553685544,15.411089553685542,13.569963140655105,10.109777332137728,5.447881603544242,0.1465693819962699
ADFL,0.09582266510950573,6.560003373964632,12.244508488185074,16.46370279663537,18.708689197040204,18.708689197040204,16.46370279663537,12.244508488185074,6.560003373964632,0.09582266510950835,-6.368358043745615,-12.052863157966051,-16.272057466416317,-18.517043866821197,-18.517043866821197,-16.27205746641636,-12.052863157966065,-6.368358043745615,0.09582266510950048,6.560003373964624,12.24450848818506,16.46370279663537,18.708689197040204,18.708689197040204,16.46370279663537,12.24450848818506,6.560003373964632,0.0958226651095136,-6.368358043745612,-12.052863157966065,-16.272057466416317,-18.517043866821197,-18.517043866821197,-16.272057466416317,-12.052863157966051,-6.368358043745621,0.09582266510949523,6.560003373964623,12.244508488185058,16.463702796635328,18.708689197040204,18.708689197040208,16.463702796635328,12.244508488185078,6.560003373964664,0.09582266510951622,-6.368358043745611,-12.05286315796607,-16.272057466416317,-18.517043866821194,-18.517043866821197,-16.272057466416317,-12.052863157966064,-6.368358043745622,0.09582266510949261,6.560003373964623,12.244508488185055,16.463702796635328,18.708689197040204,18.708689197040208,16.463702796635374,12.244508488185074,6.560003373964633,0.09582266510952146,-6.368358043745611,-12.052863157966046,-16.27205746641636,-18.517043866821194,-18.517043866821197,-16.27205746641636,-12.052863157966064,-6.368358043745624,0.09582266510948736,6.560003373964622,12.244508488185055,16.463702796635328,18.708689197040204,18.708689197040204,16.463702796635374,12.244508488185074,6.560003373964634,0.09582266510952671,-6.368358043745562,-12.052863157966069,-16.27205746641636,-18.517043866821197,-18.517043866821197,-16.272057466416364,-12.052863157966186,-6.368358043745625,0.09582266510948212,6.560003373964621,12.244508488185055,16.463702796635328,18.708689197040208,18.708689197040208,16.463702796635385,12.2445084881852,6.560003373964743,0.09582266510946376
ADFR,0.10072944635208522,5.538849725230209,10.321052440368055,13.870533366524645,15.759172719246207,15.759172719246207,13.870533366524647,10.321052440368055,5.538849725230209,0.10072944635208743,-5.337390832526033,-10.119593547663873,-13.669074473820436,-15.557713826542036,-15.557713826542036,-13.669074473820478,-10.119593547663888,-5.337390832526033,0.10072944635208081,5.5388497252302,10.321052440368042,13.870533366524647,15.759172719246207,15.759172719246207,13.870533366524647,10.321052440368042,5.538849725230209,0.10072944635209184,-5.33739083252603,-10.119593547663888,-13.669074473820436,-15.557713826542036,-15.557713826542036,-13.669074473820436,-10.119593547663873,-5.337390832526039,0.1007294463520764,5.5388497252302,10.32105244036804,13.870533366524604,15.759172719246207,15.759172719246207,13.870533366524606,10.32105244036806,5.53884972523024,0.10072944635209405,-5.3373908325260295,-10.119593547663895,-13.669074473820436,-15.557713826542034,-15.557713826542036,-13.669074473820436,-10.119593547663888,-5.33739083252604,0.10072944635207419,5.538849725230199,10.321052440368037,13.870533366524604,15.759172719246207,15.759172719246207,13.87053336652465,10.321052440368055,5.538849725230209,0.10072944635209846,-5.337390832526029,-10.11959354766387,-13.669074473820478,-15.557713826542034,-15.557713826542036,-13.669074473820476,-10.119593547663888,-5.337390832526042,0.10072944635206978,5.5388497252301985,10.321052440368037,13.870533366524604,15.759172719246205,15.759172719246207,13.87053336652465,10.321052440368057,5.538849725230211,0.10072944635210287,-5.337390832525979,-10.119593547663893,-13.669074473820478,-15.557713826542036,-15.557713826542036,-13.669074473820482,-10.119593547663955,-5.337390832526042,0.10072944635206536,5.5388497252301985,10.321052440368037,13.870533366524604,15.759172719246207,15.759172719246207,13.870533366524661,10.32105244036813,5.538849725230293,0.10072944635204992
ADLL,0.09500348738348882,4.71227542228001,8.772636218151781,11.786346438473409,13.389908153048308,13.389908153048308,11.786346438473409,8.772636218151781,4.71227542228001,0.0950034873834907,-4.522268447513027,-8.582629243384792,-11.596339463706391,-13.199901178281332,-13.199901178281332,-11.596339463706432,-8.582629243384806,-4.522268447513027,0.09500348738348507,4.712275422280002,8.772636218151767,11.786346438473409,13.389908153048308,13.389908153048308,11.786346438473409,8.772636218151767,4.71227542228001,0.09500348738349444,-4.522268447513024,-8.582629243384806,-11.596339463706391,-13.199901178281332,-13.199901178281332,-11.596339463706391,-8.582629243384792,-4.522268447513033,0.09500348738348133,4.712275422280001,8.772636218151765,11.786346438473368,13.389908153048308,13.38990815304831,11.786346438473368,8.772636218151785,4.712275422280042,0.09500348738349632,-4.5222684475130235,-8.582629243384812,-11.596339463706391,-13.199901178281328,-13.199901178281332,-11.596339463706391,-8.582629243384805,-4.522268447513034,0.09500348738347945,4.712275422280001,8.772636218151762,11.786346438473368,13.389908153048308,13.38990815304831,11.786346438473412,8.772636218151781,4.712275422280011,0.09500348738350006,-4.5222684475130235,-8.582629243384787,-11.596339463706432,-13.199901178281328,-13.199901178281332,-11.596339463706432,-8.582629243384805,-4.522268447513036,0.09500348738347571,4.71227542228,8.772636218151762,11.786346438473366,13.389908153048307,13.389908153048308,11.786346438473412,8.772636218151781,4.712275422280013,0.09500348738350381,-4.522268447512974,-8.58262924338481,-11.596339463706432,-13.199901178281332,-13.199901178281332,-11.596339463706437,-8.582629243384831,-4.522268447513037,0.09500348738347196,4.712275422279999,8.772636218151762,11.786346438473366,13.38990815304831,13.38990815304831,11.786346438473423,8.772636218151812,4.712275422280073,0.09500348738345885
ADLR,0.10643592674503313,3.697647431664552,6.855705828453711,9.19970266648165,10.446917333373227,10.446917333373227,9.19970266648165,6.855705828453712,3.697647431664552,0.10643592674503459,-3.48477557817448,-6.642833974963631,-8.986830812991546,-10.234045479883159,-10.234045479883159,-8.986830812991586,-6.642833974963645,-3.48477557817448,0.10643592674503022,3.697647431664543,6.855705828453698,9.19970266648165,10.446917333373227,10.446917333373227,9.199702666481652,6.855705828453698,3.697647431664552,0.1064359267450375,-3.484775578174477,-6.642833974963645,-8.986830812991544,-10.234045479883159,-10.234045479883159,-8.986830812991546,-6.642833974963631,-3.4847755781744865,0.1064359267450273,3.697647431664543,6.855705828453697,9.19970266648161,10.446917333373227,10.446917333373227,9.19970266648161,6.855705828453717,3.6976474316645795,0.10643592674503896,-3.4847755781744767,-6.642833974963652,-8.986830812991544,-10.234045479883157,-10.234045479883159,-8.986830812991546,-6.642833974963645,-3.484775578174487,0.10643592674502585,3.6976474316645427,6.855705828453694,9.19970266648161,10.446917333373227,10.446917333373227,9.199702666481656,6.855705828453712,3.6976474316645525,0.10643592674504188,-3.4847755781744763,-6.642833974963626,-8.986830812991586,-10.234045479883157,-10.234045479883159,-8.986830812991585,-6.642833974963645,-3.4847755781744887,0.10643592674502293,3.6976474316645422,6.855705828453694,9.199702666481608,10.446917333373223,10.446917333373227,9.199702666481656,6.855705828453712,3.6976474316645542,0.10643592674504479,-3.4847755781744327,-6.64283397496365,-8.986830812991586,-10.234045479883159,-10.23404547988316,-8.98683081299159,-6.642833974963654,-3.4847755781744896,0.10643592674502002,3.697647431664542,6.855705828453694,9.199702666481608,10.446917333373227,10.446917333373227,9.199702666481667,6.85570582845372,3.697647431664592,0.10643592674500982
AFDL,0.0384308684459195,4.074268559688806,7.623324662747102,10.2575306331023,11.659162353989984,11.659162353989984,10.257530633102302,7.623324662747102,4.074268559688806,0.03843086844592114,-3.997406822796961,-7.5464629258552485,-10.180668896210422,-11.582300617098145,-11.582300617098145,-10.180668896210463,-7.546462925855264,-3.997406822796961,0.03843086844591623,4.0742685596887975,7.6233246627470885,10.257530633102302,11.659162353989984,11.659162353989984,10.257530633102302,7.6233246627470885,4.074268559688806,0.0384308684459236,-3.9974068227969584,-7.546462925855264,-10.180668896210422,-11.582300617098145,-11.582300617098145,-10.180668896210422,-7.546462925855249,-3.9974068227969677,0.03843086844591377,4.0742685596887975,7.623324662747087,10.25753063310226,11.659162353989984,11.659162353989984,10.257530633102261,7.623324662747107,4.074268559688838,0.03843086844592687,-3.997406822796958,-7.546462925855269,-10.180668896210422,-11.582300617098143,-11.582300617098145,-10.180668896210422,-7.546462925855263,-3.997406822796968,0.038430868445910496,4.074268559688797,7.623324662747083,10.25753063310226,11.659162353989984,11.659162353989984,10.257530633102306,7.623324662747102,4.074268559688807,0.03843086844592933,-3.9974068227969575,-7.546462925855244,-10.180668896210463,-11.582300617098143,-11.582300617098145,-10.180668896210463,-7.546462925855263,-3.99740682279697,0.03843086844590804,4.074268559688796,7.623324662747083,10.25753063310226,11.659162353989982,11.659162353989984,10.257530633102306,7.623324662747103,4.074268559688809,0.0384308684459326,-3.9974068227969086,-7.546462925855268,-10.180668896210463,-11.582300617098145,-11.582300617098145,-10.180668896210468,-7.546462925855272,-3.9974068227969703,0.038430868445904764,4.074268559688796,7.623324662747083,10.25753063310226,11.659162353989984,11.659162353989984,10.257530633102316,7.623324662747111,4.0742685596888535,0.0384308684458933
AFDR,0.0402383679011081,3.8366619588160273,7.1751808354217115,9.653120349908386,10.971604426336626,10.971604426336626,9.653120349908386,7.1751808354217115,3.836661958816028,0.04023836790110964,-3.756185223013805,-7.094704099619482,-9.572643614106129,-10.891127690534411,-10.891127690534411,-9.572643614106171,-7.094704099619496,-3.756185223013805,0.04023836790110502,3.836661958816019,7.175180835421698,9.653120349908386,10.971604426336626,10.971604426336626,9.653120349908388,7.175180835421698,3.8366619588160273,0.04023836790111195,-3.756185223013803,-7.094704099619496,-9.572643614106129,-10.891127690534411,-10.891127690534411,-9.572643614106129,-7.094704099619482,-3.7561852230138117,0.04023836790110271,3.8366619588160185,7.175180835421696,9.653120349908345,10.971604426336626,10.971604426336627,9.653120349908345,7.175180835421717,3.8366619588160575,0.040238367901115034,-3.756185223013802,-7.094704099619501,-9.572643614106129,-10.891127690534407,-10.89112769053441,-9.572643614106129,-7.094704099619495,-3.756185223013812,0.04023836790109963,3.836661958816018,7.175180835421693,9.653120349908345,10.971604426336627,10.971604426336627,9.653120349908392,7.1751808354217115,3.8366619588160282,0.040238367901117345,-3.7561852230138015,-7.094704099619476,-9.572643614106171,-10.891127690534407,-10.89112769053441,-9.57264361410617,-7.094704099619495,-3.756185223013814,0.04023836790109732,3.8366619588160176,7.175180835421693,9.653120349908344,10.971604426336624,10.971604426336626,9.653120349908392,7.1751808354217115,3.83666195881603,0.040238367901120425,-3.756185223013756,-7.0947040996195,-9.572643614106171,-10.891127690534411,-10.891127690534411,-9.572643614106175,-7.094704099619505,-3.7561852230138144,0.04023836790109424,3.836661958816017,7.175180835421693,9.653120349908344,10.971604426336627,10.971604426336627,9.6531203499084,7.17518083542172,3.8366619588160704,0.040238367901083455
