RelativePath,Extension,Size_MB,Target
SI 5 Connectome adjacency matrices.xlsx,.xlsx,4.368,"Spreadsheets (manual curation, connectome data)"
"SI 5 Connectome adjacency matrices, corrected July 2020.xlsx",.xlsx,4.188,"Spreadsheets (manual curation, connectome data)"
NeuronLineage_Part2(1).xls,.xls,2.528,Unknown/Uncategorized
NeuronLineage_Part1(2).xls,.xls,2.528,Unknown/Uncategorized
SI 2 Synapse adjacency matrices.xlsx,.xlsx,1.317,"Spreadsheets (manual curation, connectome data)"
SI 3 Synapse lists.xlsx,.xlsx,1.31,"Spreadsheets (manual curation, connectome data)"
Ce_synapse_UNIX.tar.gz,.gz,0.778,Compressed archives (check contents)
NeuronConnect(1).xls,.xls,0.518,Unknown/Uncategorized
NeuronConnect(2).xls,.xls,0.518,Unknown/Uncategorized
Adult and L4 nerve ring neighbors.xlsx,.xlsx,0.265,"Spreadsheets (manual curation, connectome data)"
SI 10 Properties of reconstructions.xlsx,.xlsx,0.258,"Spreadsheets (manual curation, connectome data)"
"SI 7 Cell class connectome adjacency matrices, corrected July 2020.xlsx",.xlsx,0.236,"Spreadsheets (manual curation, connectome data)"
SI 7 Cell class adjacency matrices.xlsx,.xlsx,0.126,"Spreadsheets (manual curation, connectome data)"
NeuronType.xls,.xls,0.061,Unknown/Uncategorized
NeuronFixedPoints.xls,.xls,0.061,Unknown/Uncategorized
"H_Attributes, Master.xlsx",.xlsx,0.027,"Spreadsheets (manual curation, connectome data)"
SI 4 Cell lists.xlsx,.xlsx,0.027,"Spreadsheets (manual curation, connectome data)"
"M_Attributes, Master.xlsx",.xlsx,0.026,"Spreadsheets (manual curation, connectome data)"
SI 6 Cell class lists.xlsx,.xlsx,0.011,"Spreadsheets (manual curation, connectome data)"
